R,G,B,Drought_AmbientTemp,Drought_ObjectTemp
52,108,60,26.71,25.37
52,106,65,26.71,25.41
51,104,63,26.71,25.37
48,106,59,26.71,25.41
49,105,58,26.71,25.37
48,104,61,26.71,25.41
44,106,62,26.71,25.37
43,105,61,26.71,25.41
41,105,61,26.71,25.37
46,102,62,26.71,25.41
44,102,61,26.71,25.37
41,101,63,26.71,25.41
38,102,64,26.71,25.37
36,104,62,26.71,25.41
37,103,64,26.71,25.37
33,109,65,26.71,25.41
33,112,67,26.71,25.37
33,113,72,26.71,25.41
38,113,71,26.71,25.37
38,118,71,26.71,25.41
42,119,76,26.71,25.37
42,123,81,26.71,25.41
42,128,78,26.71,25.37
45,126,83,26.71,25.41
49,128,80,26.71,25.37
45,130,82,26.71,25.41
41,130,85,26.71,25.37
41,129,84,26.71,25.41
42,126,79,26.71,25.37
39,127,79,26.71,25.41
40,125,78,26.71,25.37
36,122,82,26.71,25.41
35,119,80,26.71,25.37
35,117,77,26.71,25.41
34,118,75,26.71,25.37
36,116,74,26.71,25.41
38,114,74,26.71,25.37
42,109,71,26.71,25.41
37,111,68,26.71,25.37
30,110,68,26.71,25.41
30,106,69,26.71,25.37
29,102,66,26.71,25.41
31,101,66,26.71,25.37
26,100,61,26.71,25.41
26,101,55,26.71,25.37
24,103,57,26.71,25.41
22,101,59,26.71,25.37
23,99,55,26.71,25.41
93,127,86,26.71,25.37
95,126,82,26.71,25.41
92,125,84,26.71,25.37
90,125,85,26.71,25.41
91,126,83,26.71,25.37
91,125,77,26.71,25.41
84,126,77,26.71,25.37
82,125,76,26.71,25.41
79,123,76,26.71,25.37
79,120,72,26.71,25.41
75,117,70,26.71,25.37
71,117,73,26.71,25.41
66,115,72,26.71,25.37
61,113,70,26.71,25.41
61,112,66,26.71,25.37
62,111,63,26.71,25.41
62,108,66,26.71,25.37
62,106,70,26.71,25.41
62,107,69,26.71,25.37
60,109,69,26.71,25.41
60,110,67,26.71,25.37
59,112,68,26.71,25.41
60,112,70,26.71,25.37
63,108,71,26.71,25.41
63,108,69,26.71,25.37
63,108,68,26.71,25.41
58,110,71,26.71,25.37
55,111,69,26.71,25.41
57,109,69,26.71,25.37
52,109,68,26.71,25.41
52,107,68,26.71,25.37
54,106,68,26.71,25.41
53,107,67,26.71,25.37
50,107,66,26.71,25.41
51,105,69,26.71,25.37
50,107,69,26.71,25.41
51,108,66,26.71,25.37
55,108,64,26.71,25.41
60,106,66,26.71,25.37
57,107,70,26.71,25.41
52,112,74,26.71,25.37
57,109,69,26.71,25.41
61,110,69,26.71,25.37
58,111,69,26.71,25.41
60,110,69,26.71,25.37
64,108,70,26.71,25.41
